Name,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Tauros(Aqua Breed),128,490,75,110,105,30,70,100,False,Fighting,Water,Wild Bull Pokémon,Intimidate,Anger Point,Cud Chew,Generation 1,Field,None,False,False,False
Magikarp,129,200,20,10,55,15,20,80,False,Water,None,Fish Pokémon,Swift Swim,None,Rattled,Generation 1,Dragon,Water 2,False,False,False
Gyarados,130,540,95,125,79,60,100,81,False,Water,Flying,Atrocious Pokémon,Intimidate,None,Moxie,Generation 1,Dragon,Water 2,False,False,False
Gyarados(Mega Gyarados),130,640,95,155,109,70,130,81,True,Water,Dark,Atrocious Pokémon,Mold Breaker,None,None,Generation 6,Dragon,Water 2,False,False,False
Lapras,131,535,130,85,80,85,95,60,False,Water,Ice,Transport Pokémon,Water Absorb,Shell Armor,Hydration,Generation 1,Monster,Water 1,False,False,False
Ditto,132,288,48,48,48,48,48,48,False,Normal,None,Transform Pokémon,Limber,None,Imposter,Generation 1,Ditto,None,False,False,False
Eevee,133,325,55,55,50,45,65,55,False,Normal,None,Evolution Pokémon,Run Away,Adaptability,Anticipation,Generation 1,Field,None,False,False,False
Eevee(Partner Eevee),133,435,65,75,70,65,85,75,False,Normal,None,Evolution Pokémon,None,None,None,Generation 1,Field,None,False,False,False
Vaporeon,134,525,130,65,60,110,95,65,False,Water,None,Bubble Jet Pokémon,Water Absorb,None,Hydration,Generation 1,Field,None,False,False,False
Jolteon,135,525,65,65,60,110,95,130,False,Electric,None,Lightning Pokémon,Volt Absorb,None,Quick Feet,Generation 1,Field,None,False,False,False
Flareon,136,525,65,130,60,95,110,65,False,Fire,None,Flame Pokémon,Flash Fire,None,Guts,Generation 1,Field,None,False,False,False
Porygon,137,395,65,60,70,85,75,40,False,Normal,None,Virtual Pokémon,Trace,Download,Analytic,Generation 1,Mineral,None,False,False,False
Omanyte,138,355,35,40,100,90,55,35,False,Rock,Water,Spiral Pokémon,Swift Swim,Shell Armor,Weak Armor,Generation 1,Water 1,Water 3,False,False,False
Omastar,139,495,70,60,125,115,70,55,False,Rock,Water,Spiral Pokémon,Swift Swim,Shell Armor,Weak Armor,Generation 1,Water 1,Water 3,False,False,False
Kabuto,140,355,30,80,90,55,45,55,False,Rock,Water,Shellfish Pokémon,Swift Swim,Battle Armor,Weak Armor,Generation 1,Water 1,Water 3,False,False,False
Kabutops,141,495,60,115,105,65,70,80,False,Rock,Water,Shellfish Pokémon,Swift Swim,Battle Armor,Weak Armor,Generation 1,Water 1,Water 3,False,False,False
Aerodactyl,142,515,80,105,65,60,75,130,False,Rock,Flying,Fossil Pokémon,Rock Head,Pressure,Unnerve,Generation 1,Flying,None,False,False,False
Aerodactyl(Mega Aerodactyl),142,615,80,135,85,70,95,150,True,Rock,Flying,Fossil Pokémon,Tough Claws,None,None,Generation 6,Flying,None,False,False,False
Snorlax,143,540,160,110,65,65,110,30,False,Normal,None,Sleeping Pokémon,Immunity,Thick Fat,Gluttony,Generation 1,Monster,None,False,False,False
Articuno,144,580,90,85,100,95,125,85,False,Ice,Flying,Freeze Pokémon,Pressure,None,Snow Cloak,Generation 1,Undiscovered,None,True,False,False
Articuno(Galarian Articuno),144,580,90,85,85,125,100,95,False,Psychic,Flying,Freeze Pokémon,Competitive,None,None,Generation 8,Undiscovered,None,True,False,False
Zapdos,145,580,90,90,85,125,90,100,False,Electric,Flying,Electric Pokémon,Pressure,None,Static,Generation 1,Undiscovered,None,True,False,False
Zapdos(Galarian Zapdos),145,580,90,125,90,85,90,100,False,Fighting,Flying,Electric Pokémon,Defiant,None,None,Generation 8,Undiscovered,None,True,False,False
Moltres,146,580,90,100,90,125,85,90,False,Fire,Flying,Flame Pokémon,Pressure,None,Flame Body,Generation 1,Undiscovered,None,True,False,False
Moltres(Galarian Moltres),146,580,90,85,90,100,125,90,False,Dark,Flying,Flame Pokémon,Berserk,None,None,Generation 8,Undiscovered,None,True,False,False
Dratini,147,300,41,64,45,50,50,50,False,Dragon,None,Dragon Pokémon,Shed Skin,None,Marvel Scale,Generation 1,Dragon,Water 1,False,False,False
Dragonair,148,420,61,84,65,70,70,70,False,Dragon,None,Dragon Pokémon,Shed Skin,None,Marvel Scale,Generation 1,Dragon,Water 1,False,False,False
Dragonite,149,600,91,134,95,100,100,80,False,Dragon,Flying,Dragon Pokémon,Inner Focus,None,Multiscale,Generation 1,Dragon,Water 1,False,False,False
Mewtwo,150,680,106,110,90,154,90,130,False,Psychic,None,Genetic Pokémon,Pressure,None,Unnerve,Generation 1,Undiscovered,None,False,True,False
Mewtwo(Mega Mewtwo X),150,780,106,190,100,154,100,130,True,Psychic,Fighting,Genetic Pokémon,Steadfast,None,None,Generation 6,Undiscovered,None,False,True,False
Mewtwo(Mega Mewtwo Y),150,780,106,150,70,194,120,140,True,Psychic,None,Genetic Pokémon,Insomnia,None,None,Generation 6,Undiscovered,None,False,True,False
Mew,151,600,100,100,100,100,100,100,False,Psychic,None,New Species Pokémon,Synchronize,None,None,Generation 1,Undiscovered,None,False,False,True
Chikorita,152,318,45,49,65,49,65,45,False,Grass,None,Leaf Pokémon,Overgrow,None,Leaf Guard,Generation 2,Grass,Monster,False,False,False
Bayleef,153,405,60,62,80,63,80,60,False,Grass,None,Leaf Pokémon,Overgrow,None,Leaf Guard,Generation 2,Grass,Monster,False,False,False
Meganium,154,525,80,82,100,83,100,80,False,Grass,None,Herb Pokémon,Overgrow,None,Leaf Guard,Generation 2,Grass,Monster,False,False,False
Cyndaquil,155,309,39,52,43,60,50,65,False,Fire,None,Fire Mouse Pokémon,Blaze,None,Flash Fire,Generation 2,Field,None,False,False,False
Quilava,156,405,58,64,58,80,65,80,False,Fire,None,Volcano Pokémon,Blaze,None,Flash Fire,Generation 2,Field,None,False,False,False
Typhlosion,157,534,78,84,78,109,85,100,False,Fire,None,Volcano Pokémon,Blaze,None,Flash Fire,Generation 2,Field,None,False,False,False
Typhlosion(Hisuian Typhlosion),157,534,73,84,78,119,85,95,False,Fire,Ghost,Volcano Pokémon,Blaze,None,Frisk,Generation 2,Field,None,False,False,False
Totodile,158,314,50,65,64,44,48,43,False,Water,None,Big Jaw Pokémon,Torrent,None,Sheer Force,Generation 2,Monster,Water 1,False,False,False
Croconaw,159,405,65,80,80,59,63,58,False,Water,None,Big Jaw Pokémon,Torrent,None,Sheer Force,Generation 2,Monster,Water 1,False,False,False
Feraligatr,160,530,85,105,100,79,83,78,False,Water,None,Big Jaw Pokémon,Torrent,None,Sheer Force,Generation 2,Monster,Water 1,False,False,False
Sentret,161,215,35,46,34,35,45,20,False,Normal,None,Scout Pokémon,Run Away,Keen Eye,Frisk,Generation 2,Field,None,False,False,False
Furret,162,415,85,76,64,45,55,90,False,Normal,None,Long Body Pokémon,Run Away,Keen Eye,Frisk,Generation 2,Field,None,False,False,False
Hoothoot,163,262,60,30,30,36,56,50,False,Normal,Flying,Owl Pokémon,Insomnia,Keen Eye,Tinted Lens,Generation 2,Flying,None,False,False,False
Noctowl,164,452,100,50,50,86,96,70,False,Normal,Flying,Owl Pokémon,Insomnia,Keen Eye,Tinted Lens,Generation 2,Flying,None,False,False,False
Ledyba,165,265,40,20,30,40,80,55,False,Bug,Flying,Five Star Pokémon,Swarm,Early Bird,Rattled,Generation 2,Bug,None,False,False,False
Ledian,166,390,55,35,50,55,110,85,False,Bug,Flying,Five Star Pokémon,Swarm,Early Bird,Iron Fist,Generation 2,Bug,None,False,False,False
Spinarak,167,250,40,60,40,40,40,30,False,Bug,Poison,String Spit Pokémon,Swarm,Insomnia,Sniper,Generation 2,Bug,None,False,False,False
Ariados,168,400,70,90,70,60,70,40,False,Bug,Poison,Long Leg Pokémon,Swarm,Insomnia,Sniper,Generation 2,Bug,None,False,False,False
Crobat,169,535,85,90,80,70,80,130,False,Poison,Flying,Bat Pokémon,Inner Focus,None,Infiltrator,Generation 2,Flying,None,False,False,False
Chinchou,170,330,75,38,38,56,56,67,False,Water,Electric,Angler Pokémon,Volt Absorb,Illuminate,Water Absorb,Generation 2,Water 2,None,False,False,False
Lanturn,171,460,125,58,58,76,76,67,False,Water,Electric,Light Pokémon,Volt Absorb,Illuminate,Water Absorb,Generation 2,Water 2,None,False,False,False
Pichu,172,205,20,40,15,35,35,60,False,Electric,None,Tiny Mouse Pokémon,Static,None,Lightning Rod,Generation 2,Undiscovered,None,False,False,False
Cleffa,173,218,50,25,28,45,55,15,False,Fairy,None,Star Shape Pokémon,Cute Charm,Magic Guard,Friend Guard,Generation 2,Undiscovered,None,False,False,False
Igglybuff,174,210,90,30,15,40,20,15,False,Normal,Fairy,Balloon Pokémon,Cute Charm,Competitive,Friend Guard,Generation 2,Undiscovered,None,False,False,False
Togepi,175,245,35,20,65,40,65,20,False,Fairy,None,Spike Ball Pokémon,Hustle,Serene Grace,Super Luck,Generation 2,Undiscovered,None,False,False,False
Togetic,176,405,55,40,85,80,105,40,False,Fairy,Flying,Happiness Pokémon,Hustle,Serene Grace,Super Luck,Generation 2,Fairy,Flying,False,False,False
Natu,177,320,40,50,45,70,45,70,False,Psychic,Flying,Tiny Bird Pokémon,Synchronize,Early Bird,Magic Bounce,Generation 2,Flying,None,False,False,False
Xatu,178,470,65,75,70,95,70,95,False,Psychic,Flying,Mystic Pokémon,Synchronize,Early Bird,Magic Bounce,Generation 2,Flying,None,False,False,False
Mareep,179,280,55,40,40,65,45,35,False,Electric,None,Wool Pokémon,Static,None,Plus,Generation 2,Field,Monster,False,False,False
Flaaffy,180,365,70,55,55,80,60,45,False,Electric,None,Wool Pokémon,Static,None,Plus,Generation 2,Field,Monster,False,False,False
Ampharos,181,510,90,75,85,115,90,55,False,Electric,None,Light Pokémon,Static,None,Plus,Generation 2,Field,Monster,False,False,False
Ampharos(Mega Ampharos),181,610,90,95,105,165,110,45,True,Electric,Dragon,Light Pokémon,Mold Breaker,None,None,Generation 6,Field,Monster,False,False,False
Bellossom,182,490,75,80,95,90,100,50,False,Grass,None,Flower Pokémon,Chlorophyll,None,Healer,Generation 2,Grass,None,False,False,False
Marill,183,250,70,20,50,20,50,40,False,Water,Fairy,Aqua Mouse Pokémon,Thick Fat,Huge Power,Sap Sipper,Generation 2,Fairy,Water 1,False,False,False
Azumarill,184,420,100,50,80,60,80,50,False,Water,Fairy,Aqua Rabbit Pokémon,Thick Fat,Huge Power,Sap Sipper,Generation 2,Fairy,Water 1,False,False,False
Sudowoodo,185,410,70,100,115,30,65,30,False,Rock,None,Imitation Pokémon,Sturdy,Rock Head,Rattled,Generation 2,Mineral,None,False,False,False
Politoed,186,500,90,75,75,90,100,70,False,Water,None,Frog Pokémon,Water Absorb,Damp,Drizzle,Generation 2,Water 1,None,False,False,False
Hoppip,187,250,35,35,40,35,55,50,False,Grass,Flying,Cottonweed Pokémon,Chlorophyll,Leaf Guard,Infiltrator,Generation 2,Fairy,Grass,False,False,False
Skiploom,188,340,55,45,50,45,65,80,False,Grass,Flying,Cottonweed Pokémon,Chlorophyll,Leaf Guard,Infiltrator,Generation 2,Fairy,Grass,False,False,False
Jumpluff,189,460,75,55,70,55,95,110,False,Grass,Flying,Cottonweed Pokémon,Chlorophyll,Leaf Guard,Infiltrator,Generation 2,Fairy,Grass,False,False,False
Aipom,190,360,55,70,55,40,55,85,False,Normal,None,Long Tail Pokémon,Run Away,Pickup,Skill Link,Generation 2,Field,None,False,False,False
Sunkern,191,180,30,30,30,30,30,30,False,Grass,None,Seed Pokémon,Chlorophyll,Solar Power,Early Bird,Generation 2,Grass,None,False,False,False
Sunflora,192,425,75,75,55,105,85,30,False,Grass,None,Sun Pokémon,Chlorophyll,Solar Power,Early Bird,Generation 2,Grass,None,False,False,False
Yanma,193,390,65,65,45,75,45,95,False,Bug,Flying,Clear Wing Pokémon,Speed Boost,Compound Eyes,Frisk,Generation 2,Bug,None,False,False,False
Wooper,194,210,55,45,45,25,25,15,False,Water,Ground,Water Fish Pokémon,Damp,Water Absorb,Unaware,Generation 2,Field,Water 1,False,False,False
Wooper(Paldean Wooper),194,210,55,45,45,25,25,15,False,Poison,Ground,Water Fish Pokémon,Poison Point,Water Absorb,Unaware,Generation 2,Field,Water 1,False,False,False
Quagsire,195,430,95,85,85,65,65,35,False,Water,Ground,Water Fish Pokémon,Damp,Water Absorb,Unaware,Generation 2,Field,Water 1,False,False,False
Espeon,196,525,65,65,60,130,95,110,False,Psychic,None,Sun Pokémon,Synchronize,None,Magic Bounce,Generation 2,Field,None,False,False,False
Umbreon,197,525,95,65,110,60,130,65,False,Dark,None,Moonlight Pokémon,Synchronize,None,Inner Focus,Generation 2,Field,None,False,False,False
Murkrow,198,405,60,85,42,85,42,91,False,Dark,Flying,Darkness Pokémon,Insomnia,Super Luck,Prankster,Generation 2,Flying,None,False,False,False
Slowking,199,490,95,75,80,100,110,30,False,Water,Psychic,Royal Pokémon,Oblivious,Own Tempo,Regenerator,Generation 2,Monster,Water 1,False,False,False
Slowking(Galarian Slowking),199,490,95,65,80,110,110,30,False,Poison,Psychic,Royal Pokémon,Curious Medicine,Own Tempo,Regenerator,Generation 8,Monster,Water 1,False,False,False
Misdreavus,200,435,60,60,60,85,85,85,False,Ghost,None,Screech Pokémon,Levitate,None,None,Generation 2,Amorphous,None,False,False,False
Unown,201,336,48,72,48,72,48,48,False,Psychic,None,Symbol Pokémon,Levitate,None,None,Generation 2,Undiscovered,None,False,False,False
Wobbuffet,202,405,190,33,58,33,58,33,False,Psychic,None,Patient Pokémon,Shadow Tag,None,Telepathy,Generation 2,Amorphous,None,False,False,False
Girafarig,203,455,70,80,65,90,65,85,False,Normal,Psychic,Long Neck Pokémon,Inner Focus,Early Bird,Sap Sipper,Generation 2,Field,None,False,False,False
Pineco,204,290,50,65,90,35,35,15,False,Bug,None,Bagworm Pokémon,Sturdy,None,Overcoat,Generation 2,Bug,None,False,False,False
Forretress,205,465,75,90,140,60,60,40,False,Bug,Steel,Bagworm Pokémon,Sturdy,None,Overcoat,Generation 2,Bug,None,False,False,False
Dunsparce,206,415,100,70,70,65,65,45,False,Normal,None,Land Snake Pokémon,Serene Grace,Run Away,Rattled,Generation 2,Field,None,False,False,False
Gligar,207,430,65,75,105,35,65,85,False,Ground,Flying,FlyScorpion Pokémon,Hyper Cutter,Sand Veil,Immunity,Generation 2,Bug,None,False,False,False
Steelix,208,510,75,85,200,55,65,30,False,Steel,Ground,Iron Snake Pokémon,Rock Head,Sturdy,Sheer Force,Generation 2,Mineral,None,False,False,False
Steelix(Mega Steelix),208,610,75,125,230,55,95,30,True,Steel,Ground,Iron Snake Pokémon,Sand Force,None,None,Generation 6,Mineral,None,False,False,False
Snubbull,209,300,60,80,50,40,40,30,False,Fairy,None,Fairy Pokémon,Intimidate,Run Away,Rattled,Generation 2,Fairy,Field,False,False,False
Granbull,210,450,90,120,75,60,60,45,False,Fairy,None,Fairy Pokémon,Intimidate,Quick Feet,Rattled,Generation 2,Fairy,Field,False,False,False
Qwilfish,211,440,65,95,85,55,55,85,False,Water,Poison,Balloon Pokémon,Poison Point,Swift Swim,Intimidate,Generation 2,Water 2,None,False,False,False
Qwilfish(Hisuian Qwilfish),211,440,65,95,85,55,55,85,False,Dark,Poison,Balloon Pokémon,Poison Point,Swift Swim,Intimidate,Generation 2,Water 2,None,False,False,False
Scizor,212,500,70,130,100,55,80,65,False,Bug,Steel,Pincer Pokémon,Swarm,Technician,Light Metal,Generation 2,Bug,None,False,False,False
Scizor(Mega Scizor),212,600,70,150,140,65,100,75,True,Bug,Steel,Pincer Pokémon,Technician,None,None,Generation 6,Bug,None,False,False,False
Shuckle,213,505,20,10,230,10,230,5,False,Bug,Rock,Mold Pokémon,Sturdy,Gluttony,Contrary,Generation 2,Bug,None,False,False,False
Heracross,214,500,80,125,75,40,95,85,False,Bug,Fighting,Single Horn Pokémon,Swarm,Guts,Moxie,Generation 2,Bug,None,False,False,False
Heracross(Mega Heracross),214,600,80,185,115,40,105,75,True,Bug,Fighting,Single Horn Pokémon,Skill Link,None,None,Generation 6,Bug,None,False,False,False
Sneasel,215,430,55,95,55,35,75,115,False,Dark,Ice,Sharp Claw Pokémon,Inner Focus,Keen Eye,Pickpocket,Generation 2,Field,None,False,False,False
Sneasel(Hisuian Sneasel),215,430,55,95,55,35,75,115,False,Fighting,Poison,Sharp Claw Pokémon,Inner Focus,Keen Eye,Pickpocket,Generation 2,Field,None,False,False,False
Teddiursa,216,330,60,80,50,50,50,40,False,Normal,None,Little Bear Pokémon,Pickup,Quick Feet,Honey Gather,Generation 2,Field,None,False,False,False
Ursaring,217,500,90,130,75,75,75,55,False,Normal,None,Hibernator Pokémon,Guts,Quick Feet,Unnerve,Generation 2,Field,None,False,False,False
Slugma,218,250,40,40,40,70,40,20,False,Fire,None,Lava Pokémon,Magma Armor,Flame Body,Weak Armor,Generation 2,Amorphous,None,False,False,False
Magcargo,219,430,60,50,120,90,80,30,False,Fire,Rock,Lava Pokémon,Magma Armor,Flame Body,Weak Armor,Generation 2,Amorphous,None,False,False,False
Swinub,220,250,50,50,40,30,30,50,False,Ice,Ground,Pig Pokémon,Oblivious,Snow Cloak,Thick Fat,Generation 2,Field,None,False,False,False
Piloswine,221,450,100,100,80,60,60,50,False,Ice,Ground,Swine Pokémon,Oblivious,Snow Cloak,Thick Fat,Generation 2,Field,None,False,False,False
Corsola,222,410,65,55,95,65,95,35,False,Water,Rock,Coral Pokémon,Hustle,Natural Cure,Regenerator,Generation 2,Water 1,Water 3,False,False,False
Corsola(Galarian Corsola),222,410,60,55,100,65,100,30,False,Ghost,None,Coral Pokémon,Weak Armor,None,Cursed Body,Generation 8,Water 1,Water 3,False,False,False
Remoraid,223,300,35,65,35,65,35,65,False,Water,None,Jet Pokémon,Hustle,Sniper,Moody,Generation 2,Water 1,Water 2,False,False,False
Octillery,224,480,75,105,75,105,75,45,False,Water,None,Jet Pokémon,Suction Cups,Sniper,Moody,Generation 2,Water 1,Water 2,False,False,False
Delibird,225,330,45,55,45,65,45,75,False,Ice,Flying,Delivery Pokémon,Vital Spirit,Hustle,Insomnia,Generation 2,Field,Water 1,False,False,False
Mantine,226,485,85,40,70,80,140,70,False,Water,Flying,Kite Pokémon,Swift Swim,Water Absorb,Water Veil,Generation 2,Water 1,None,False,False,False
Skarmory,227,465,65,80,140,40,70,70,False,Steel,Flying,Armor Bird Pokémon,Keen Eye,Sturdy,Weak Armor,Generation 2,Flying,None,False,False,False
Houndour,228,330,45,60,30,80,50,65,False,Dark,Fire,Dark Pokémon,Early Bird,Flash Fire,Unnerve,Generation 2,Field,None,False,False,False
Houndoom,229,500,75,90,50,110,80,95,False,Dark,Fire,Dark Pokémon,Early Bird,Flash Fire,Unnerve,Generation 2,Field,None,False,False,False
Houndoom(Mega Houndoom),229,600,75,90,90,140,90,115,True,Dark,Fire,Dark Pokémon,Solar Power,None,None,Generation 6,Field,None,False,False,False
Kingdra,230,540,75,95,95,95,95,85,False,Water,Dragon,Dragon Pokémon,Swift Swim,Sniper,Damp,Generation 2,Dragon,Water 1,False,False,False
Phanpy,231,330,90,60,60,40,40,40,False,Ground,None,Long Nose Pokémon,Pickup,None,Sand Veil,Generation 2,Field,None,False,False,False
Donphan,232,500,90,120,120,60,60,50,False,Ground,None,Armor Pokémon,Sturdy,None,Sand Veil,Generation 2,Field,None,False,False,False
Porygon2,233,515,85,80,90,105,95,60,False,Normal,None,Virtual Pokémon,Trace,Download,Analytic,Generation 2,Mineral,None,False,False,False
Stantler,234,465,73,95,62,85,65,85,False,Normal,None,Big Horn Pokémon,Intimidate,Frisk,Sap Sipper,Generation 2,Field,None,False,False,False
Smeargle,235,250,55,20,35,20,45,75,False,Normal,None,Painter Pokémon,Own Tempo,Technician,Moody,Generation 2,Field,None,False,False,False
Tyrogue,236,210,35,35,35,35,35,35,False,Fighting,None,Scuffle Pokémon,Guts,Steadfast,Vital Spirit,Generation 2,Undiscovered,None,False,False,False
Hitmontop,237,455,50,95,95,35,110,70,False,Fighting,None,Handstand Pokémon,Intimidate,Technician,Steadfast,Generation 2,Human-Like,None,False,False,False
Smoochum,238,305,45,30,15,85,65,65,False,Ice,Psychic,Kiss Pokémon,Oblivious,Forewarn,Hydration,Generation 2,Undiscovered,None,False,False,False
Elekid,239,360,45,63,37,65,55,95,False,Electric,None,Electric Pokémon,Static,None,Vital Spirit,Generation 2,Undiscovered,None,False,False,False
Magby,240,365,45,75,37,70,55,83,False,Fire,None,Live Coal Pokémon,Flame Body,None,Vital Spirit,Generation 2,Undiscovered,None,False,False,False
Miltank,241,490,95,80,105,40,70,100,False,Normal,None,Milk Cow Pokémon,Thick Fat,Scrappy,Sap Sipper,Generation 2,Field,None,False,False,False
Blissey,242,540,255,10,10,75,135,55,False,Normal,None,Happiness Pokémon,Natural Cure,Serene Grace,Healer,Generation 2,Fairy,None,False,False,False
Raikou,243,580,90,85,75,115,100,115,False,Electric,None,Thunder Pokémon,Pressure,None,Inner Focus,Generation 2,Undiscovered,None,True,False,False
Entei,244,580,115,115,85,90,75,100,False,Fire,None,Volcano Pokémon,Pressure,None,Inner Focus,Generation 2,Undiscovered,None,True,False,False
Suicune,245,580,100,75,115,90,115,85,False,Water,None,Aurora Pokémon,Pressure,None,Inner Focus,Generation 2,Undiscovered,None,True,False,False
Larvitar,246,300,50,64,50,45,50,41,False,Rock,Ground,Rock Skin Pokémon,Guts,None,Sand Veil,Generation 2,Monster,None,False,False,False
Pupitar,247,410,70,84,70,65,70,51,False,Rock,Ground,Hard Shell Pokémon,Shed Skin,None,None,Generation 2,Monster,None,False,False,False
Tyranitar,248,600,100,134,110,95,100,61,False,Rock,Dark,Armor Pokémon,Sand Stream,None,Unnerve,Generation 2,Monster,None,False,False,False
Tyranitar(Mega Tyranitar),248,700,100,164,150,95,120,71,True,Rock,Dark,Armor Pokémon,Sand Stream,None,None,Generation 6,Monster,None,False,False,False
Lugia,249,680,106,90,130,90,154,110,False,Psychic,Flying,Diving Pokémon,Pressure,None,Multiscale,Generation 2,Undiscovered,None,False,True,False
Ho-oh,250,680,106,130,90,110,154,90,False,Fire,Flying,Rainbow Pokémon,Pressure,None,Regenerator,Generation 2,Undiscovered,None,False,False,False
Celebi,251,600,100,100,100,100,100,100,False,Psychic,Grass,Time Travel Pokémon,Natural Cure,None,None,Generation 2,Undiscovered,None,False,False,True
Treecko,252,310,40,45,35,65,55,70,False,Grass,None,Wood Gecko Pokémon,Overgrow,None,Unburden,Generation 3,Dragon,Monster,False,False,False
Grovyle,253,405,50,65,45,85,65,95,False,Grass,None,Wood Gecko Pokémon,Overgrow,None,Unburden,Generation 3,Dragon,Monster,False,False,False
Sceptile,254,530,70,85,65,105,85,120,False,Grass,None,Forest Pokémon,Overgrow,None,Unburden,Generation 3,Dragon,Monster,False,False,False
Sceptile(Mega Sceptile),254,630,70,110,75,145,85,145,True,Grass,Dragon,Forest Pokémon,Lightning Rod,None,None,Generation 6,Dragon,Monster,False,False,False
Torchic,255,310,45,60,40,70,50,45,False,Fire,None,Chick Pokémon,Blaze,None,Speed Boost,Generation 3,Field,None,False,False,False
Combusken,256,405,60,85,60,85,60,55,False,Fire,Fighting,Young Fowl Pokémon,Blaze,None,Speed Boost,Generation 3,Field,None,False,False,False
Blaziken,257,530,80,120,70,110,70,80,False,Fire,Fighting,Blaze Pokémon,Blaze,None,Speed Boost,Generation 3,Field,None,False,False,False
Blaziken(Mega Blaziken),257,630,80,160,80,130,80,100,True,Fire,Fighting,Blaze Pokémon,Speed Boost,None,None,Generation 6,Field,None,False,False,False
Mudkip,258,310,50,70,50,50,50,40,False,Water,None,Mud Fish Pokémon,Torrent,None,Damp,Generation 3,Monster,Water 1,False,False,False
Marshtomp,259,405,70,85,70,60,70,50,False,Water,Ground,Mud Fish Pokémon,Torrent,None,Damp,Generation 3,Monster,Water 1,False,False,False
Swampert,260,535,100,110,90,85,90,60,False,Water,Ground,Mud Fish Pokémon,Torrent,None,Damp,Generation 3,Monster,Water 1,False,False,False
Swampert(Mega Swampert),260,635,100,150,110,95,110,70,True,Water,Ground,Mud Fish Pokémon,Swift Swim,None,None,Generation 6,Monster,Water 1,False,False,False
Poochyena,261,220,35,55,35,30,30,35,False,Dark,None,Bite Pokémon,Run Away,Quick Feet,Rattled,Generation 3,Field,None,False,False,False
Mightyena,262,420,70,90,70,60,60,70,False,Dark,None,Bite Pokémon,Intimidate,Quick Feet,Moxie,Generation 3,Field,None,False,False,False
Zigzagoon,263,240,38,30,41,30,41,60,False,Normal,None,TinyRaccoon Pokémon,Pickup,Gluttony,Quick Feet,Generation 3,Field,None,False,False,False
Zigzagoon(Galarian Zigzagoon),263,240,38,30,41,30,41,60,False,Dark,Normal,TinyRaccoon Pokémon,Pickup,Gluttony,Quick Feet,Generation 8,Field,None,False,False,False
Linoone,264,420,78,70,61,50,61,100,False,Normal,None,Rushing Pokémon,Pickup,Gluttony,Quick Feet,Generation 3,Field,None,False,False,False
Linoone(Galarian Linoone),264,420,78,70,61,50,61,100,False,Dark,Normal,Rushing Pokémon,Pickup,Gluttony,Quick Feet,Generation 8,Field,None,False,False,False
Wurmple,265,195,45,45,35,20,30,20,False,Bug,None,Worm Pokémon,Shield Dust,None,Run Away,Generation 3,Bug,None,False,False,False
Silcoon,266,205,50,35,55,25,25,15,False,Bug,None,Cocoon Pokémon,Shed Skin,None,None,Generation 3,Bug,None,False,False,False
Beautifly,267,395,60,70,50,100,50,65,False,Bug,Flying,Butterfly Pokémon,Swarm,None,Rivalry,Generation 3,Bug,None,False,False,False
Cascoon,268,205,50,35,55,25,25,15,False,Bug,None,Cocoon Pokémon,Shed Skin,None,None,Generation 3,Bug,None,False,False,False
Dustox,269,385,60,50,70,50,90,65,False,Bug,Poison,Poison Moth Pokémon,Shield Dust,None,Compound Eyes,Generation 3,Bug,None,False,False,False
Lotad,270,220,40,30,30,40,50,30,False,Water,Grass,Water Weed Pokémon,Swift Swim,Rain Dish,Own Tempo,Generation 3,Grass,Water 1,False,False,False
Lombre,271,340,60,50,50,60,70,50,False,Water,Grass,Jolly Pokémon,Swift Swim,Rain Dish,Own Tempo,Generation 3,Grass,Water 1,False,False,False
Ludicolo,272,480,80,70,70,90,100,70,False,Water,Grass,Carefree Pokémon,Swift Swim,Rain Dish,Own Tempo,Generation 3,Grass,Water 1,False,False,False
Seedot,273,220,40,40,50,30,30,30,False,Grass,None,Acorn Pokémon,Chlorophyll,Early Bird,Pickpocket,Generation 3,Field,Grass,False,False,False
Nuzleaf,274,340,70,70,40,60,40,60,False,Grass,Dark,Wily Pokémon,Chlorophyll,Early Bird,Pickpocket,Generation 3,Field,Grass,False,False,False
Shiftry,275,480,90,100,60,90,60,80,False,Grass,Dark,Wicked Pokémon,Chlorophyll,Early Bird,Pickpocket,Generation 3,Field,Grass,False,False,False
Taillow,276,270,40,55,30,30,30,85,False,Normal,Flying,TinySwallow Pokémon,Guts,None,Scrappy,Generation 3,Flying,None,False,False,False
Swellow,277,455,60,85,60,75,50,125,False,Normal,Flying,Swallow Pokémon,Guts,None,Scrappy,Generation 3,Flying,None,False,False,False
Wingull,278,270,40,30,30,55,30,85,False,Water,Flying,Seagull Pokémon,Keen Eye,Hydration,Rain Dish,Generation 3,Flying,Water 1,False,False,False
Pelipper,279,440,60,50,100,95,70,65,False,Water,Flying,Water Bird Pokémon,Keen Eye,Drizzle,Rain Dish,Generation 3,Flying,Water 1,False,False,False
Ralts,280,198,28,25,25,45,35,40,False,Psychic,Fairy,Feeling Pokémon,Synchronize,Trace,Telepathy,Generation 3,Amorphous,Human-Like,False,False,False
